Sub,Crse,Sec,Day,Time,Room,Instructor
COM,220,01X,T,07:00 pm-09:45 pm,COMBLD 114B,"Ammari, M (P)"
COM,220,02X,M,04:00 pm-06:45 pm,COMBLD 114A,"Carlson, R (P)"
COM,220,02X,M,04:00 pm-06:45 pm,COMBLD 114D,"Carlson, R (P)"
COM,220,02X,M,04:00 pm-06:45 pm,COMBLD 114B,"Carlson, R (P)"
COM,220,03X,T,04:00 pm-06:45 pm,COMBLD 114A,"Ammari, M (P)"
COM,220,03X,T,04:00 pm-06:45 pm,COMBLD 114D,"Ammari, M (P)"
COM,220,03X,T,04:00 pm-06:45 pm,COMBLD 114B,"Ammari, M (P)"
COM,220,04X,TR,11:00 am-12:15 pm,COMBLD 226,"Day, B (P)"
COM,230,01,T,04:00 pm-06:45 pm,COMBLD 109,"Freund, E (P)"
COM,230,02,W,04:00 pm-06:45 pm,COMBLD 218,"Freund, E (P)"
COM,230,03,TR,09:30 am-10:45 am,COMBLD 108,"Curtis, S (P)"
COM,245,01,T,04:00 pm-06:45 pm,COMBLD 226,"Zatowski, J (P)"
COM,290,01, ,TBA,TBA,"Utterback, A (P)"
COM,291,01, ,TBA,TBA,"Zatowski, J (P)"
COM,291,02, ,TBA,TBA,TBA
COM,292,01, ,TBA,TBA,TBA
COM,300,02,TR,12:30 pm-01:45 pm,FAIC 307,"Utterback, A (P)"
COM,301,01,MWF,12:00 pm-12:50 pm,FAIC 115,"Osterndorf, W (P)"
COM,330,01,MWF,09:00 am-09:50 am,FAIC 307,"Osterndorf, W (P)"
COM,357,01,TR,09:30 am-10:45 am,COMBLD 226,"Day, B (P)"
COM,380,01X,TR,02:00 pm-03:50 pm,FAIC 115,"Day, B (P)"
COM,400,01,TR,09:30 am-10:45 am,FAIC 307,"Osterndorf, W (P)"
COM,403,01,TR,11:00 am-12:15 pm,FAIC 307,"Osterndorf, W (P)"
COM,410,01,M,04:00 pm-06:45 pm,COMBLD 107,"Aconfora, N (P)"
COM,425,01,W,04:00 pm-06:45 pm,COMBLD 114A,"Utterback, A (P)"
COM,425,01,W,04:00 pm-06:45 pm,COMBLD 114D,"Utterback, A (P)"
COM,425,01,W,04:00 pm-06:45 pm,COMBLD 114B,"Utterback, A (P)"
COM,480,01, ,TBA,TBA,"Utterback, A (P)"
COM,480,02, ,TBA,TBA,"Kang, M (P)"
COM,480,03, ,TBA,TBA,"Utterback, A (P)"
COM,480,04, ,TBA,TBA,"Flood, R (P)"
COM,490,01, ,TBA,TBA,"Cobb, J (P)"
COM,490,02, ,TBA,TBA,"Flood, R (P)"
COM,490,03, ,TBA,TBA,"Kang, M (P)"
COM,490,05, ,TBA,TBA,"Day, B (P)"
COM,490,06, ,TBA,TBA,"Utterback, A (P)"
COM,490,07, ,TBA,TBA,"Osterndorf, W (P)"
COM,490,08, ,TBA,TBA,"Zatowski, J (P)"
COM,490,09, ,TBA,TBA,"Sokolovskaya, A (P)"
COM,491,01, ,TBA,TBA,TBA
CFT,100,01,F,12:00 pm-02:45 pm,FAIC 117,"Pellegrini, D (P)"
CFT,100,02,F,12:00 pm-02:45 pm,FAIC 118,"Morgan, K (P)"
CFT,205,01,MWF,10:00 am-11:10 am,COMBLD 226,"Flood, R (P)"
CFT,401,01,M,02:00 pm-02:50 pm,COMBLD 226,"Day, B (P)"
CSC,180,01,TR,11:00 am-12:15 pm,SCIENC 138,"Tasneem, S (P)"
CSC,202,01,TR,02:00 pm-03:15 pm,SCIENC 135,"Jahan, I (P)"
CSC,205,01,TR,12:30 pm-01:45 pm,SCIENC 133,"Onye, Y (P)"
CSC,205,02,TR,02:00 pm-03:15 pm,SCIENC 133,"Onye, Y (P)"
CSC,210,01,MWF,09:00 am-09:50 am,SCIENC 138,"Johnson, J (P)"
CSC,210,02,MWF,11:00 am-11:50 am,SCIENC 133,"Bondok, A (P)"
CSC,210,03,MWF,10:00 am-10:50 am,SCIENC 139,"Johnson, J (P)"
CSC,212,01,TR,09:30 am-10:45 am,SCIENC 135,"Lavoie, M (P)"
